gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,curcd,fyr,costat
1308,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1308,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1308,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1308,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1308,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1318,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1356,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1356,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1356,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1356,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1356,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1356,31/12/2011,2011,INDL,C,D,STD,USD,12,I
1356,31/12/2012,2012,INDL,C,D,STD,USD,12,I
1356,31/12/2013,2013,INDL,C,D,STD,USD,12,I
1356,31/12/2014,2014,INDL,C,D,STD,USD,12,I
1356,31/12/2015,2015,INDL,C,D,STD,USD,12,I
1380,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1380,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1380,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1380,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1380,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1380,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1380,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1380,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1380,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1380,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1382,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1382,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1382,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1382,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1382,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1382,31/12/2011,2011,INDL,C,D,STD,USD,12,I
1382,31/12/2012,2012,INDL,C,D,STD,USD,12,I
1388,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1388,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1388,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1388,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1388,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1388,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1388,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1388,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1388,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1388,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1393,31/03/2007,2006,INDL,C,D,STD,USD,3,A
1393,31/03/2008,2007,INDL,C,D,STD,USD,3,A
1393,31/03/2009,2008,INDL,C,D,STD,USD,3,A
1393,31/03/2010,2009,INDL,C,D,STD,USD,3,A
1393,31/03/2011,2010,INDL,C,D,STD,USD,3,A
1393,31/03/2012,2011,INDL,C,D,STD,USD,3,A
1393,31/03/2013,2012,INDL,C,D,STD,USD,3,A
1393,31/03/2014,2013,INDL,C,D,STD,USD,3,A
1393,31/03/2015,2014,INDL,C,D,STD,USD,3,A
1393,31/03/2016,2015,INDL,C,D,STD,USD,3,A
1408,31/12/2006,2006,INDL,C,D,STD,USD,12,I
1408,31/12/2007,2007,INDL,C,D,STD,USD,12,I
1408,31/12/2008,2008,INDL,C,D,STD,USD,12,I
1408,31/12/2009,2009,INDL,C,D,STD,USD,12,I
1408,31/12/2010,2010,INDL,C,D,STD,USD,12,I
1408,31/12/2011,2011,INDL,C,D,STD,USD,12,I
1408,31/12/2012,2012,INDL,C,D,STD,USD,12,I
1408,31/12/2013,2013,INDL,C,D,STD,USD,12,I
1414,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1414,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1414,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1414,31/12/2008,2008,FS,C,D,STD,USD,12,A
1414,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1414,31/12/2009,2009,FS,C,D,STD,USD,12,A
1414,31/12/2010,2010,FS,C,D,STD,USD,12,A
1414,31/12/2010,2010,INDL,C,D,STD,USD,12,A
1414,31/12/2011,2011,FS,C,D,STD,USD,12,A
1414,31/12/2011,2011,INDL,C,D,STD,USD,12,A
1414,31/12/2012,2012,INDL,C,D,STD,USD,12,A
1414,31/12/2012,2012,FS,C,D,STD,USD,12,A
1414,31/12/2013,2013,FS,C,D,STD,USD,12,A
1414,31/12/2013,2013,INDL,C,D,STD,USD,12,A
1414,31/12/2014,2014,FS,C,D,STD,USD,12,A
1414,31/12/2014,2014,INDL,C,D,STD,USD,12,A
1414,31/12/2015,2015,FS,C,D,STD,USD,12,A
1414,31/12/2015,2015,INDL,C,D,STD,USD,12,A
1429,31/08/2006,2006,INDL,C,D,STD,USD,8,I
1429,31/08/2007,2007,INDL,C,D,STD,USD,8,I
1429,31/08/2008,2008,INDL,C,D,STD,USD,8,I
1429,31/08/2009,2009,INDL,C,D,STD,USD,8,I
1429,31/08/2010,2010,INDL,C,D,STD,USD,8,I
1429,31/08/2011,2011,INDL,C,D,STD,USD,8,I
1429,31/08/2012,2012,INDL,C,D,STD,USD,8,I
1429,31/08/2013,2013,INDL,C,D,STD,USD,8,I
1439,31/12/2006,2006,INDL,C,D,STD,USD,12,A
1439,31/12/2007,2007,INDL,C,D,STD,USD,12,A
1439,31/12/2008,2008,INDL,C,D,STD,USD,12,A
1439,31/12/2009,2009,INDL,C,D,STD,USD,12,A
1439,31/12/2010,2010,INDL,C,D,STD,USD,12,A
