,gvkey,debt_at,debt_ebitda,debt_assets,cash_debt,year
72177,13634,0.332,4.27,0.843,0.001,2007
72189,13634,0.3,2.5639999999999996,0.7859999999999999,0.001,2008
72201,13634,0.34,3.9760000000000004,0.815,0.077,2009
72213,13634,0.33899999999999997,3.049,0.8240000000000001,0.068,2010
72225,13634,0.345,3.497,0.815,0.045,2011
72237,13634,0.36700000000000005,5.479,0.838,0.051,2012
72244,13634,0.387,8.014,0.9229999999999999,0.015,2013
72256,13646,0.19699999999999998,0.9420000000000001,0.363,0.278,2006
72268,13646,0.17300000000000001,0.825,0.365,0.22399999999999998,2007
72280,13646,0.209,0.856,0.44,0.3,2008
72292,13646,0.24,1.3880000000000001,0.479,0.08800000000000001,2009
72304,13646,0.22,1.093,0.43700000000000006,0.424,2010
72316,13646,0.18100000000000002,0.778,0.405,0.192,2011
72328,13646,0.20199999999999999,1.013,0.44,0.11599999999999999,2012
72340,13646,0.207,1.031,0.42700000000000005,0.163,2013
72352,13646,0.21100000000000002,0.9390000000000001,0.413,0.077,2014
72364,13646,0.21,1.074,0.444,0.264,2015
72376,13657,0.831,3.533,1.045,0.17800000000000002,2006
72388,13657,0.7809999999999999,3.443,1.011,0.17,2007
72400,13657,0.772,3.951,0.985,0.139,2008
72412,13657,0.747,3.8089999999999997,0.96,0.15,2009
72424,13657,0.748,4.415,0.9570000000000001,0.163,2010
72436,13657,0.8190000000000001,4.732,1.003,0.131,2011
72448,13657,0.987,4.315,1.167,0.122,2012
72460,13657,1.033,3.9989999999999997,1.2329999999999999,0.152,2013
72472,13657,1.085,3.898,1.28,0.138,2014
72484,13657,0.966,4.4110000000000005,1.163,0.16399999999999998,2015
72496,13680,0.866,5.886,1.081,0.034,2006
72508,13680,0.92,8.121,1.131,0.011000000000000001,2007
72509,13680,0.92,8.121,1.131,0.011000000000000001,2008
72522,13700,0.293,1.9869999999999999,0.49,0.2,2006
72534,13700,0.179,1.069,0.424,0.3,2007
72546,13700,0.183,1.112,0.446,0.33399999999999996,2008
72558,13700,0.152,1.003,0.39,0.287,2009
72570,13700,0.16699999999999998,1.113,0.386,0.307,2010
72582,13700,0.249,2.082,0.48200000000000004,0.26899999999999996,2011
72594,13700,0.35200000000000004,3.429,0.588,0.13699999999999998,2012
72606,13700,0.305,2.69,0.53,0.136,2013
72618,13700,0.278,2.396,0.494,0.16699999999999998,2014
72630,13700,0.276,2.181,0.493,0.24100000000000002,2015
72641,13712,0.424,2.452,0.7879999999999999,0.08800000000000001,2006
72653,13714,0.16899999999999998,2.3680000000000003,0.47600000000000003,0.166,2006
72665,13714,0.16899999999999998,2.316,0.474,0.094,2007
72677,13714,0.19,2.4330000000000003,0.505,0.115,2008
72689,13714,0.265,3.8169999999999997,0.674,0.11699999999999999,2009
72701,13714,0.255,3.1,0.654,0.052000000000000005,2010
72713,13714,0.22899999999999998,1.962,0.624,0.106,2011
72725,13714,0.233,1.78,0.619,0.107,2012
72737,13714,0.24100000000000002,1.851,0.627,0.11199999999999999,2013
72749,13714,0.27,2.103,0.6559999999999999,0.114,2014
72761,13714,0.332,2.5839999999999996,0.737,0.075,2015
72770,13721,0.46299999999999997,2.4659999999999997,0.741,0.204,2013
72782,13721,0.562,2.639,0.818,0.122,2014
72794,13721,0.5539999999999999,2.504,0.8059999999999999,0.11900000000000001,2015
72806,13782,0.237,1.0659999999999998,0.526,0.337,2006
72818,13782,0.037000000000000005,0.16699999999999998,0.366,0.593,2007
72830,13782,0.363,2.781,0.569,0.061,2008
72842,13782,0.37200000000000005,2.6710000000000003,0.569,0.18,2009
72854,13782,0.313,2.2,0.513,0.19899999999999998,2010
72866,13782,0.325,2.137,0.544,0.16899999999999998,2011
72878,13782,0.507,4.104,0.6940000000000001,0.10099999999999999,2012
72890,13782,0.485,3.6889999999999996,0.6759999999999999,0.12300000000000001,2013
72902,13782,0.48200000000000004,3.3280000000000003,0.6779999999999999,0.121,2014
72914,13782,0.49700000000000005,3.2110000000000003,0.69,0.168,2015
72926,13853,1.653,5.837000000000001,4.1930000000000005,0.016,2006
72930,13853,1.919,3.783,4.53,-0.002,2007
72942,13963,0.36,2.336,0.902,0.11900000000000001,2006
72954,13963,0.271,1.3840000000000001,0.846,0.085,2007
72966,13963,0.37799999999999995,2.028,0.882,0.161,2008
72978,13963,0.42700000000000005,2.105,0.982,0.133,2009
72990,13963,0.5,2.727,1.024,0.008,2010
73002,13963,0.5660000000000001,3.5589999999999997,1.06,0.067,2011
73014,13963,0.597,3.2569999999999997,1.124,0.035,2012
73026,13963,0.601,6.659,1.117,0.07200000000000001,2013
73038,13963,0.578,3.412,1.012,0.040999999999999995,2014
73050,13963,0.596,3.6239999999999997,1.002,0.069,2015
73062,13988,0.028999999999999998,0.8029999999999999,0.903,0.016,2006
73074,13988,0.009000000000000001,0.17600000000000002,0.9,0.04,2007
73086,13988,0.019,0.392,0.919,0.045,2008
73098,13988,0.015,0.503,0.925,0.0,2009
73099,13988,0.015,0.503,0.925,0.0,2010
73122,13988,0.021,1.1540000000000001,0.93,-0.0,2011
73134,13988,0.018000000000000002,1.255,0.9229999999999999,0.024,2012
73146,13988,0.013999999999999999,1.0390000000000001,0.9279999999999999,0.01,2013
73158,13988,0.013000000000000001,0.81,0.924,0.012,2014
73170,13988,0.012,0.774,0.924,0.016,2015
73182,13990,0.25,3.833,0.568,0.23399999999999999,2006
73194,13990,0.244,2.323,0.56,0.087,2007
73206,13990,0.19899999999999998,1.4180000000000001,0.48700000000000004,0.192,2008
73218,13990,0.157,1.194,0.447,0.17800000000000002,2009
73230,13990,0.078,0.439,0.429,0.35600000000000004,2010
73242,13990,0.09300000000000001,0.523,0.445,0.32899999999999996,2011
73254,13990,0.147,0.912,0.45,0.154,2012
73255,13990,0.147,0.912,0.45,0.154,2013
73267,14027,0.20600000000000002,1.21,0.777,0.059000000000000004,2006
73279,14027,0.18,0.998,0.763,0.12300000000000001,2007
73291,14027,0.129,0.6890000000000001,0.636,0.141,2008
73303,14027,0.114,0.75,0.529,0.23399999999999999,2009
73315,14027,0.201,1.001,0.5489999999999999,0.11800000000000001,2010
73327,14027,0.255,1.47,0.5579999999999999,0.273,2011
73339,14027,0.276,1.5430000000000001,0.563,0.152,2012
73351,14027,0.365,2.878,0.627,0.136,2013
73363,14027,0.361,2.62,0.63,0.168,2014
73375,14027,0.382,2.559,0.677,0.122,2015
73387,14163,0.201,2.165,0.449,0.37200000000000005,2006
73399,14163,0.39299999999999996,4.681,0.609,-0.121,2007
73411,14163,0.581,5.002,0.898,0.09699999999999999,2008
73423,14163,0.583,5.735,0.98,0.11,2009
73435,14163,0.561,4.516,0.9440000000000001,0.039,2010
73447,14163,0.541,4.749,0.93,0.077,2011
73459,14163,0.523,4.687,0.935,-0.011000000000000001,2012
73471,14163,0.565,5.417999999999999,0.983,0.018000000000000002,2013
73483,14163,0.579,6.46,0.895,0.066,2014
73495,14163,0.44,5.314,0.841,0.07,2015
73507,14172,0.187,7.282,0.899,0.013000000000000001,2006
73519,14172,0.20199999999999999,8.511000000000001,0.898,0.015,2007
73531,14172,0.263,13.884,0.9009999999999999,0.021,2008
73543,14172,0.18100000000000002,16.505,0.8859999999999999,0.013999999999999999,2009
73555,14172,0.121,6.776,0.879,0.012,2010
73567,14172,0.098,4.838,0.88,0.02,2011
73579,14172,0.10300000000000001,4.87,0.8759999999999999,0.026000000000000002,2012
73591,14172,0.124,5.81,0.878,0.021,2013
73603,14172,0.11199999999999999,5.317,0.878,0.02,2014
73615,14172,0.085,4.195,0.884,0.013999999999999999,2015
73627,14201,0.188,8.466000000000001,0.9109999999999999,-0.01,2006
73639,14201,0.18899999999999997,8.782,0.903,-0.006,2007
73651,14201,0.184,39.534,0.9009999999999999,0.01,2008
73659,14201,0.17800000000000002,-5.265,0.934,-0.009000000000000001,2009
73671,14219,0.09,3.5180000000000002,0.915,0.017,2006
73683,14219,0.102,4.273,0.9129999999999999,0.011000000000000001,2007
73695,14219,0.146,6.145,0.9079999999999999,0.009000000000000001,2008
73707,14219,0.138,6.622000000000001,0.905,0.01,2009
73719,14219,0.065,6.393,0.9059999999999999,0.024,2010
73731,14219,0.05,3.0410000000000004,0.9079999999999999,0.018000000000000002,2011
73743,14219,0.044000000000000004,1.95,0.895,0.022000000000000002,2012
73755,14219,0.043,1.92,0.889,0.011000000000000001,2013
73767,14219,0.040999999999999995,1.679,0.88,0.018000000000000002,2014
73779,14219,0.042,1.6769999999999998,0.879,0.012,2015
