,gvkey,fiscal_year,fiscal_month
416,1635,2008.0,6.0
417,1635,2009.0,6.0
418,1635,2010.0,6.0
419,1635,2011.0,6.0
420,1635,2012.0,6.0
421,1635,2013.0,6.0
422,1651,2006.0,9.0
423,1651,2007.0,9.0
424,1663,2006.0,12.0
425,1663,2007.0,12.0
426,1677,2006.0,12.0
427,1678,2006.0,12.0
428,1678,2007.0,12.0
429,1678,2008.0,12.0
430,1678,2009.0,12.0
431,1678,2010.0,12.0
432,1678,2011.0,12.0
433,1678,2012.0,12.0
434,1678,2013.0,12.0
435,1678,2014.0,12.0
436,1678,2015.0,12.0
437,1689,2006.0,12.0
438,1689,2007.0,12.0
439,1689,2008.0,12.0
440,1689,2009.0,12.0
441,1689,2010.0,12.0
442,1689,2011.0,12.0
443,1689,2012.0,12.0
444,1689,2013.0,12.0
445,1689,2014.0,12.0
446,1689,2015.0,12.0
447,1690,2006.0,9.0
448,1690,2007.0,9.0
449,1690,2008.0,9.0
450,1690,2009.0,9.0
451,1690,2010.0,9.0
452,1690,2011.0,9.0
453,1690,2012.0,9.0
454,1690,2013.0,9.0
455,1690,2014.0,9.0
456,1690,2015.0,9.0
457,1704,2006.0,10.0
458,1704,2007.0,10.0
459,1704,2008.0,10.0
460,1704,2009.0,10.0
461,1704,2010.0,10.0
462,1704,2011.0,10.0
463,1704,2012.0,10.0
464,1704,2013.0,10.0
465,1704,2014.0,10.0
466,1704,2015.0,10.0
467,1706,2006.0,8.0
468,1706,2007.0,8.0
469,1706,2008.0,8.0
470,1706,2009.0,8.0
471,1706,2010.0,8.0
472,1706,2011.0,8.0
473,1706,2012.0,8.0
474,1706,2013.0,8.0
475,1706,2014.0,8.0
476,1706,2015.0,8.0
477,1722,2006.0,6.0
478,1722,2007.0,6.0
479,1722,2008.0,6.0
480,1722,2009.0,6.0
481,1722,2010.0,6.0
482,1722,2011.0,6.0
483,1722,2012.0,6.0
484,1722,2013.0,12.0
485,1722,2014.0,12.0
486,1722,2015.0,12.0
487,1742,2006.0,12.0
488,1742,2007.0,12.0
489,1742,2008.0,12.0
490,1742,2009.0,12.0
491,1742,2010.0,12.0
492,1742,2011.0,12.0
493,1742,2012.0,12.0
494,1742,2013.0,12.0
495,1742,2014.0,12.0
496,1742,2015.0,12.0
497,1743,2006.0,12.0
498,1743,2007.0,12.0
499,1743,2008.0,12.0
500,1743,2009.0,12.0
501,1743,2010.0,12.0
502,1743,2011.0,12.0
503,1743,2012.0,12.0
504,1743,2013.0,12.0
505,1743,2014.0,12.0
506,1743,2015.0,12.0
507,1745,2006.0,12.0
508,1745,2007.0,12.0
509,1745,2008.0,12.0
510,1745,2009.0,12.0
511,1745,2010.0,12.0
512,1745,2011.0,12.0
513,1745,2012.0,12.0
514,1745,2013.0,12.0
515,1745,2014.0,12.0
516,1745,2015.0,12.0
517,1762,2006.0,12.0
518,1773,2006.0,12.0
519,1773,2007.0,12.0
520,1773,2008.0,12.0
521,1773,2009.0,12.0
522,1773,2010.0,12.0
523,1773,2011.0,12.0
524,1773,2012.0,12.0
525,1773,2013.0,12.0
526,1773,2014.0,12.0
527,1773,2015.0,12.0
528,1794,2006.0,9.0
529,1794,2007.0,9.0
530,1794,2008.0,9.0
531,1794,2009.0,9.0
532,1794,2010.0,9.0
533,1794,2011.0,9.0
534,1794,2012.0,9.0
535,1794,2013.0,9.0
536,1794,2014.0,9.0
537,1794,2015.0,9.0
538,1837,2006.0,12.0
539,1837,2007.0,12.0
540,1837,2008.0,12.0
541,1837,2009.0,12.0
542,1837,2010.0,12.0
543,1837,2011.0,12.0
544,1837,2012.0,12.0
545,1837,2013.0,12.0
546,1837,2014.0,12.0
547,1837,2015.0,12.0
548,1860,2006.0,9.0
549,1860,2007.0,9.0
550,1860,2008.0,9.0
551,1860,2009.0,9.0
552,1860,2010.0,9.0
553,1860,2011.0,9.0
554,1860,2012.0,9.0
555,1860,2013.0,9.0
556,1860,2014.0,9.0
557,1860,2015.0,9.0
558,1868,2006.0,12.0
559,1868,2007.0,12.0
560,1868,2008.0,12.0
561,1868,2009.0,12.0
562,1868,2010.0,12.0
563,1868,2011.0,12.0
564,1878,2006.0,1.0
565,1878,2007.0,1.0
566,1878,2008.0,1.0
567,1878,2009.0,1.0
568,1878,2010.0,1.0
569,1878,2011.0,1.0
570,1878,2012.0,1.0
571,1878,2013.0,1.0
572,1878,2014.0,1.0
573,1878,2015.0,1.0
574,1891,2006.0,6.0
575,1891,2007.0,6.0
576,1891,2008.0,6.0
577,1891,2009.0,6.0
578,1891,2010.0,6.0
579,1891,2011.0,6.0
580,1891,2012.0,6.0
581,1891,2013.0,6.0
582,1891,2014.0,6.0
583,1891,2015.0,6.0
584,1906,2006.0,12.0
585,1906,2007.0,12.0
586,1906,2008.0,12.0
587,1906,2009.0,12.0
588,1906,2010.0,12.0
589,1906,2011.0,12.0
590,1906,2012.0,12.0
591,1906,2013.0,12.0
592,1906,2014.0,12.0
593,1906,2015.0,12.0
594,1913,2006.0,12.0
595,1913,2007.0,12.0
596,1913,2008.0,12.0
597,1913,2009.0,12.0
598,1913,2010.0,12.0
599,1913,2011.0,12.0
600,1913,2012.0,12.0
601,1913,2013.0,12.0
602,1913,2014.0,12.0
603,1913,2015.0,12.0
604,1919,2006.0,6.0
605,1919,2007.0,6.0
606,1919,2008.0,6.0
607,1919,2009.0,6.0
608,1919,2010.0,6.0
609,1919,2011.0,6.0
610,1919,2012.0,6.0
611,1919,2013.0,6.0
612,1919,2014.0,6.0
613,1919,2015.0,6.0
614,1976,2006.0,12.0
615,1976,2007.0,12.0
616,1976,2008.0,12.0
617,1976,2009.0,12.0
618,1976,2010.0,12.0
619,1976,2011.0,12.0
620,1976,2012.0,12.0
621,1976,2013.0,12.0
622,1976,2014.0,12.0
623,1976,2015.0,12.0
624,1981,2006.0,12.0
625,1981,2007.0,12.0
626,1981,2008.0,12.0
627,1981,2009.0,12.0
628,1988,2006.0,12.0
629,1988,2007.0,12.0
630,1988,2008.0,12.0
631,1988,2009.0,12.0
632,1988,2010.0,12.0
633,1988,2011.0,12.0
634,1988,2012.0,12.0
635,1988,2013.0,12.0
636,1988,2014.0,12.0
637,1988,2015.0,12.0
638,1995,2006.0,12.0
639,1995,2007.0,12.0
640,1995,2008.0,12.0
641,1995,2009.0,12.0
642,1995,2010.0,12.0
643,1995,2011.0,12.0
645,2002,2006.0,12.0
647,2002,2007.0,12.0
649,2002,2008.0,12.0
651,2002,2009.0,12.0
653,2002,2010.0,12.0
655,2002,2011.0,12.0
657,2002,2012.0,12.0
659,2002,2013.0,12.0
661,2002,2014.0,12.0
663,2002,2015.0,12.0
665,2005,2006.0,12.0
667,2005,2007.0,12.0
669,2005,2008.0,12.0
671,2005,2009.0,12.0
673,2005,2010.0,12.0
675,2005,2011.0,12.0
677,2005,2012.0,12.0
679,2005,2013.0,12.0
681,2005,2014.0,12.0
683,2005,2015.0,12.0
685,2019,2006.0,12.0
687,2019,2007.0,12.0
689,2019,2008.0,12.0
691,2019,2009.0,12.0
693,2019,2010.0,12.0
695,2019,2011.0,12.0
697,2019,2012.0,12.0
699,2019,2013.0,12.0
701,2019,2014.0,12.0
703,2019,2015.0,12.0
705,2025,2006.0,12.0
707,2025,2007.0,12.0
709,2025,2008.0,12.0
711,2025,2009.0,12.0
713,2025,2010.0,12.0
715,2025,2011.0,12.0
717,2025,2012.0,12.0
719,2025,2013.0,12.0
720,2044,2006.0,12.0
721,2044,2007.0,12.0
722,2044,2008.0,12.0
723,2044,2009.0,12.0
724,2044,2010.0,12.0
725,2044,2011.0,12.0
726,2044,2012.0,12.0
727,2044,2013.0,12.0
728,2044,2014.0,12.0
729,2044,2015.0,12.0
730,2085,2006.0,12.0
731,2085,2007.0,12.0
732,2085,2008.0,12.0
733,2085,2009.0,12.0
734,2085,2010.0,12.0
735,2085,2011.0,12.0
736,2085,2012.0,12.0
737,2086,2006.0,12.0
738,2086,2007.0,12.0
739,2086,2008.0,12.0
740,2086,2009.0,12.0
741,2086,2010.0,12.0
742,2086,2011.0,12.0
743,2086,2012.0,12.0
744,2086,2013.0,12.0
745,2086,2014.0,12.0
746,2086,2015.0,12.0
747,2111,2006.0,9.0
748,2111,2007.0,9.0
749,2111,2008.0,9.0
750,2111,2009.0,9.0
751,2111,2010.0,9.0
752,2111,2011.0,9.0
753,2111,2012.0,9.0
754,2111,2013.0,9.0
755,2111,2014.0,9.0
756,2111,2015.0,9.0
757,2128,2006.0,12.0
758,2128,2007.0,12.0
759,2128,2008.0,12.0
760,2128,2009.0,12.0
761,2128,2010.0,12.0
762,2136,2006.0,12.0
763,2136,2007.0,12.0
764,2136,2008.0,12.0
765,2136,2009.0,12.0
766,2136,2010.0,12.0
767,2136,2011.0,12.0
768,2136,2012.0,12.0
769,2136,2013.0,12.0
770,2136,2014.0,12.0
771,2136,2015.0,12.0
772,2150,2006.0,12.0
773,2150,2007.0,12.0
774,2150,2008.0,12.0
775,2150,2009.0,12.0
776,2150,2010.0,12.0
777,2150,2011.0,12.0
778,2150,2012.0,12.0
779,2154,2006.0,12.0
780,2154,2007.0,12.0
781,2154,2008.0,12.0
782,2154,2009.0,12.0
783,2154,2010.0,12.0
784,2154,2011.0,12.0
785,2154,2012.0,12.0
786,2154,2013.0,12.0
787,2154,2014.0,12.0
788,2154,2015.0,12.0
790,2176,2006.0,12.0
792,2176,2007.0,12.0
794,2176,2008.0,12.0
796,2176,2009.0,12.0
798,2176,2010.0,12.0
800,2176,2011.0,12.0
802,2176,2012.0,12.0
804,2176,2013.0,12.0
806,2176,2014.0,12.0
808,2176,2015.0,12.0
809,2184,2006.0,2.0
810,2184,2007.0,2.0
811,2184,2008.0,2.0
812,2184,2009.0,2.0
813,2184,2010.0,2.0
814,2184,2011.0,2.0
815,2184,2012.0,1.0
816,2184,2013.0,1.0
817,2184,2014.0,1.0
818,2184,2015.0,1.0
819,2220,2006.0,12.0
820,2220,2007.0,12.0
821,2220,2008.0,12.0
822,2220,2009.0,12.0
823,2220,2010.0,12.0
824,2220,2011.0,12.0
825,2220,2012.0,12.0
826,2220,2013.0,12.0
827,2220,2014.0,12.0
828,2220,2015.0,12.0
829,2230,2006.0,5.0
830,2230,2007.0,5.0
831,2230,2008.0,5.0
832,2230,2009.0,5.0
833,2230,2010.0,5.0
834,2230,2011.0,5.0
835,2230,2012.0,5.0
836,2230,2013.0,5.0
837,2255,2006.0,12.0
838,2255,2007.0,12.0
839,2255,2008.0,12.0
840,2255,2009.0,12.0
841,2259,2006.0,12.0
842,2259,2007.0,12.0
843,2259,2008.0,12.0
844,2259,2009.0,12.0
845,2259,2010.0,12.0
846,2259,2011.0,12.0
847,2259,2012.0,12.0
848,2259,2013.0,12.0
849,2259,2014.0,12.0
850,2259,2015.0,12.0
851,2269,2006.0,4.0
852,2269,2007.0,4.0
853,2269,2008.0,4.0
854,2269,2009.0,4.0
855,2269,2010.0,4.0
856,2269,2011.0,4.0
857,2269,2012.0,4.0
858,2269,2013.0,4.0
859,2269,2014.0,4.0
860,2269,2015.0,4.0
861,2285,2006.0,12.0
862,2285,2007.0,12.0
863,2285,2008.0,12.0
864,2285,2009.0,12.0
865,2285,2010.0,12.0
866,2285,2011.0,12.0
867,2285,2012.0,12.0
868,2285,2013.0,12.0
869,2285,2014.0,12.0
870,2285,2015.0,12.0
871,2290,2006.0,12.0
872,2290,2007.0,12.0
873,2290,2008.0,12.0
874,2290,2009.0,12.0
875,2290,2010.0,12.0
876,2290,2011.0,12.0
877,2290,2012.0,12.0
878,2316,2006.0,12.0
879,2316,2007.0,12.0
880,2316,2008.0,12.0
881,2316,2009.0,12.0
882,2316,2010.0,12.0
883,2316,2011.0,12.0
884,2316,2012.0,12.0
885,2316,2013.0,12.0
886,2316,2014.0,12.0
887,2316,2015.0,12.0
888,2328,2006.0,12.0
889,2328,2007.0,12.0
890,2328,2008.0,12.0
891,2328,2009.0,12.0
892,2328,2010.0,12.0
893,2328,2011.0,12.0
894,2346,2006.0,12.0
895,2346,2007.0,12.0
896,2346,2008.0,12.0
897,2346,2009.0,12.0
898,2393,2006.0,6.0
899,2393,2007.0,6.0
900,2393,2008.0,6.0
901,2393,2009.0,6.0
902,2393,2010.0,6.0
903,2393,2011.0,6.0
904,2393,2012.0,6.0
