,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Independent variable5,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4,Coefficient5
975,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,PerCapitaIncome,heat_death,0.06181859632972331,0.04018776821656016,0.0332004702528632,0.00023002611540942874,-2.7055973445439464e-06,-0.0014422143675330715
976,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,PerCapitaIncome,winter_storm_count,0.0623789710784588,0.044219662243760845,0.035298601538668754,0.00015803488131806913,-2.107889529721985e-06,0.00029616936252248235
977,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,GDP_per_capita,heat_death,0.0621131877415495,0.03975903636717353,0.03091308442776146,0.00021819843721039236,-3.2541048562340094,-0.001529524979220509
978,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,GDP_per_capita,winter_storm_count,0.06255068013150855,0.04382365398332436,0.033665120526682656,0.00015089316504643402,-2.483283744916861,0.00029267455046941336
979,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,heat_death,winter_storm_count,0.062435841030422434,0.044384154046818426,0.03526458887003932,0.00014453027635194637,-0.0009441725617097244,0.0002670366653990258
980,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,avg_tornado_scale,PerCapitaIncome,0.06160533529086698,0.03867062750228995,0.032595235647676135,0.008342240664412824,0.015551497211702098,-1.7476201215529783e-06
981,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,avg_tornado_scale,GDP_per_capita,0.06181160039593325,0.038257314980931593,0.03104962233771649,0.00822441790220254,0.015366467467333257,-2.3300384693393017
982,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,avg_tornado_scale,heat_death,0.06209653896262324,0.03871263157863958,0.03247868972885944,0.008291025804234747,0.01638388269605791,-0.0013104479030168325
983,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,avg_tornado_scale,winter_storm_count,0.06268755662379555,0.04222595888915894,0.03512101169921563,0.006639994945429428,0.014398802044366334,0.0002828198926791895
984,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,PerCapitaIncome,GDP_per_capita,0.061830245352079705,0.03872893860709747,0.028359481981124302,0.008115787260481856,5.711075892871176e-06,-7.510632458941226
985,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,PerCapitaIncome,heat_death,0.06235163046027392,0.039763553608054066,0.030033364609741195,0.008871562308469343,-2.774674065107842e-06,-0.0015750947947458065
986,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,PerCapitaIncome,winter_storm_count,0.06280935147763345,0.043343012759515354,0.033459399547853624,0.007031752389322705,-2.1219185254022447e-06,0.00029591271430103136
987,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,GDP_per_capita,heat_death,0.06266100274270836,0.03917299694696967,0.027921238696130765,0.008682127249785442,-3.335304561681829,-0.0016586093561474539
988,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,GDP_per_capita,winter_storm_count,0.06298052377384411,0.04285696581301281,0.031947190999782764,0.006906093917591515,-2.4928988192225323,0.00029143877664733036
989,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,heat_death,winter_storm_count,0.0629321388171653,0.04309250998240336,0.03363671436067524,0.0071403186255900595,-0.0010352719527083683,0.0002608213618746535
990,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,PerCapitaIncome,GDP_per_capita,0.06119369301557687,0.04169560843225698,0.026574138930177606,0.019504907508509018,7.425345944160738e-06,-8.872713488254746
991,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,PerCapitaIncome,heat_death,0.061453498076146196,0.04367528082602228,0.028742271375426676,0.01743396527760408,-2.4046980208016773e-06,-0.0015012180726487418
992,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,PerCapitaIncome,winter_storm_count,0.062289765586412416,0.04654968523179339,0.032554388455936965,0.01491623328163064,-1.872172972445226e-06,0.00032175662907777834
993,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,GDP_per_capita,heat_death,0.06180090997504295,0.04302327532381273,0.026605401906583077,0.01711342043675737,-3.1624596999418615,-0.001601580241799318
994,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,GDP_per_capita,winter_storm_count,0.0624829228560968,0.046015783485483304,0.03104101842975836,0.014799201258524509,-2.3755990224192756,0.0003174646781406246
995,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,heat_death,winter_storm_count,0.06242932020879788,0.04624382357250675,0.032665453489841706,0.01630509144429361,-0.0009701090620658178,0.00028900166334424774
996,Fixed effect,tropical_storm_death,wildfire_dummy,PerCapitaIncome,GDP_per_capita,heat_death,0.06187387764498631,0.04337474040368745,0.02341517672615542,6.902944187381427e-06,-9.423666796649393,-0.0016202339097666591
997,Fixed effect,tropical_storm_death,wildfire_dummy,PerCapitaIncome,GDP_per_capita,winter_storm_count,0.06246357904742994,0.046455824329791874,0.028628199816403976,4.987096353786905e-06,-6.908982983579935,0.00031258227110628987
998,Fixed effect,tropical_storm_death,wildfire_dummy,PerCapitaIncome,heat_death,winter_storm_count,0.0626496265020553,0.047748173659272544,0.030251382222574386,-2.6645905987136022e-06,-0.0012104387716296338,0.0003005317887208308
999,Fixed effect,tropical_storm_death,wildfire_dummy,GDP_per_capita,heat_death,winter_storm_count,0.06292223616706949,0.04700313772082368,0.028232295690589645,-3.177723172428529,-0.0012981411664251838,0.0002918423870765917
1000,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,flood_count,0.06101510951864497,0.03939953815270328,0.0002700111093187602,0.004745084916528115,5.538853221666708e-05,0.0002201567447649716
1001,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,flood_death,0.06164719195112511,0.03850618690040788,0.00028411089564320675,0.0036350092994569274,6.062686255317757e-05,0.009192402613388564
1002,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,avg_tornado_scale,0.060764819617739496,0.04058574726652532,0.000239132313120914,0.014464429478392783,5.5181260395480995e-05,0.01763503506081665
1003,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,PerCapitaIncome,0.06075249425617546,0.04227184346858356,0.0002318991281727181,0.011456805174075234,6.87132342569822e-05,-1.9428492206213665e-06
1004,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,GDP_per_capita,0.060996089399264486,0.04195426793619428,0.00022310905486610654,0.009865105215190418,6.895426002882421e-05,-2.565484661400385
1005,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,heat_death,0.06207159705450194,0.04250983189308438,0.0003883890539734934,0.01047044718594075,6.757803766416836e-05,-0.0021533697646314576
1006,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,tornado_injury,winter_storm_count,0.061839819732146695,0.0462303298510021,0.000208400141951353,0.006540669367958996,5.391866680522483e-05,0.00028833835898225036
1007,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,flood_death,0.061484847584018176,0.03858655390980725,0.00028611265328479127,0.003634265777403858,0.00011458078604236591,0.007937438056072966
1008,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,avg_tornado_scale,0.06102225916772308,0.03879515229363807,0.0002638762960380236,0.008611442075343801,0.00021528723248907114,0.016853184837883586
1009,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,PerCapitaIncome,0.06104695903629376,0.040215215689228895,0.00025963445147700966,0.004971781225708776,0.000248248293077446,-2.0020514422839184e-06
1010,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,GDP_per_capita,0.061266850027118736,0.039958300687452666,0.0002504370602641785,0.0036642007902457003,0.00024370045157643986,-2.539967408532728
1011,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,heat_death,0.0623606359027028,0.04047647814073497,0.0004163927496746825,0.004113516632828803,0.0002446343322296565,-0.0021600776573955116
1012,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_count,winter_storm_count,0.061854986265234335,0.04486457145101658,0.00022599377564797512,0.003791331883037248,0.00015315016209909883,0.0002658492741494858
1013,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_death,avg_tornado_scale,0.06160166392603039,0.0380712455644888,0.00027641702909497127,0.007891766398025803,0.008907520150732682,0.016611846103282143
1014,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_death,PerCapitaIncome,0.06162461127401564,0.03964676066316484,0.0002704722495432684,0.004966880874439075,0.009539971356018912,-1.9717100221490933e-06
1015,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_death,GDP_per_capita,0.06184220712454569,0.039373583539704646,0.0002615220103733792,0.0035842511948406108,0.00944103986728324,-2.5144857571529866
1016,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_death,heat_death,0.06324537909355055,0.039441510551167465,0.0004484021950707854,0.0024406448328415553,0.010675350648532703,-0.0023725174588271353
1017,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,flood_death,winter_storm_count,0.062446328678807506,0.04363648924582053,0.00024345723265124965,0.001699869541395531,0.007908110841952446,0.00026149705565703613
1018,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,avg_tornado_scale,PerCapitaIncome,0.060694800885685685,0.04161820719897406,0.00022608075570766501,0.016270679186318592,0.018748071871590555,-1.5423825634697416e-06
1019,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,avg_tornado_scale,GDP_per_capita,0.06092404218678493,0.04139289933036378,0.00021762777045623833,0.014706360609470703,0.01839026718638847,-2.2742605674963188
1020,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,avg_tornado_scale,heat_death,0.06204718362754802,0.04179708639209617,0.00037878936853126744,0.01495452885899747,0.019440107766247158,-0.0021129152037170163
