,Model,Independent variable1,Independent variable2,Independent variable3,Adjusted R2,Coefficient1,Coefficient2,Coefficient3
70,Fixed effect,tornado_count,avg_tornado_scale,heat_death,0.0603453073408563,0.0005026102071752232,0.015888162885122778,-0.0014570216482973752
71,Fixed effect,tornado_count,avg_tornado_scale,winter_storm_count,0.060687863986794266,0.000428223400698258,0.014550898151335505,0.0002694211997104742
72,Fixed effect,tornado_count,PerCapitaIncome,GDP_per_capita,0.060261656949064824,0.0004786289097003719,8.370508890008818e-06,-10.02920711307019
73,Fixed effect,tornado_count,PerCapitaIncome,heat_death,0.060604702994989545,0.0005312635482451551,-2.7307009589804134e-06,-0.0017186089993201422
74,Fixed effect,tornado_count,PerCapitaIncome,winter_storm_count,0.06079633547959029,0.0004489842923267848,-2.0761871312867708e-06,0.0002833610894449314
75,Fixed effect,tornado_count,GDP_per_capita,heat_death,0.06105233187051873,0.0005219934250685008,-3.5688857899333466,-0.0018240609744280495
76,Fixed effect,tornado_count,GDP_per_capita,winter_storm_count,0.06107482518680474,0.0004407839356617624,-2.7247852101650096,0.0002796948194666541
77,Fixed effect,tornado_count,heat_death,winter_storm_count,0.06107648792596909,0.0004915141298230427,-0.0012044344114040002,0.00024255888947191044
78,Fixed effect,tropical_storm_death,tropical_storm_count,wildfire_dummy,0.06058832572964212,0.034206399362737255,0.0005762621644859376,0.030406421628438773
79,Fixed effect,tropical_storm_death,tropical_storm_count,wildfire_count,0.060580587206788605,0.034229057788417894,0.0006356454558243269,0.00021612893150378099
80,Fixed effect,tropical_storm_death,tropical_storm_count,tropical_storm_dummy,0.059992117211632445,0.0349459913287302,0.0005932392516578843,0.0009578978241223416
81,Fixed effect,tropical_storm_death,tropical_storm_count,tornado_injury,0.06023265334135841,0.03421007894819944,0.0005577062971061141,5.593577007164803e-05
82,Fixed effect,tropical_storm_death,tropical_storm_count,flood_count,0.060359989367650635,0.03294352095290565,0.0005131542311383622,0.00017617330367739517
83,Fixed effect,tropical_storm_death,tropical_storm_count,flood_death,0.06089500856063956,0.031443228852623586,0.0005352662551008474,0.007856215162785707
84,Fixed effect,tropical_storm_death,tropical_storm_count,avg_tornado_scale,0.06028262663036932,0.03342349585680433,0.0005927755254275179,0.018565322116865558
85,Fixed effect,tropical_storm_death,tropical_storm_count,PerCapitaIncome,0.06021003859496765,0.03525939954394451,0.0005799365900268029,-1.8216318064568782e-06
86,Fixed effect,tropical_storm_death,tropical_storm_count,GDP_per_capita,0.06049105050716741,0.03510288863959259,0.0005554856133077111,-2.5723816990705073
87,Fixed effect,tropical_storm_death,tropical_storm_count,heat_death,0.06065693081909995,0.0359720416456314,0.0005479471126360547,-0.0012883953247122908
88,Fixed effect,tropical_storm_death,tropical_storm_count,winter_storm_count,0.06162729838234193,0.037731533417704896,0.0005956638032539422,0.00031422350545346297
89,Fixed effect,tropical_storm_death,wildfire_dummy,wildfire_count,0.060799141468763085,0.04537665395635209,0.030296574157248835,0.0002026994249478203
90,Fixed effect,tropical_storm_death,wildfire_dummy,tropical_storm_dummy,0.06036728889564513,0.04314559578264227,0.03104193043923221,0.01170903318450941
91,Fixed effect,tropical_storm_death,wildfire_dummy,tornado_injury,0.06049653034899971,0.0439595572729779,0.029319653433961854,5.295623564806846e-05
92,Fixed effect,tropical_storm_death,wildfire_dummy,flood_count,0.06096306457780987,0.0400693519419337,0.03659095174902064,0.00024046310287792656
93,Fixed effect,tropical_storm_death,wildfire_dummy,flood_death,0.06134445822289236,0.04010213634652185,0.03327635047574866,0.008514013309543258
94,Fixed effect,tropical_storm_death,wildfire_dummy,avg_tornado_scale,0.06061151066409931,0.04355336669091333,0.03183563348709313,0.019791985656282277
95,Fixed effect,tropical_storm_death,wildfire_dummy,PerCapitaIncome,0.06048089066930029,0.04533108833581541,0.030066324819774674,-1.7443863431575885e-06
96,Fixed effect,tropical_storm_death,wildfire_dummy,GDP_per_capita,0.060723307082360733,0.04480203926254841,0.02844083783110543,-2.4289337420592307
97,Fixed effect,tropical_storm_death,wildfire_dummy,heat_death,0.06095850003709935,0.045419033506666345,0.02994529530663114,-0.0012982494424578525
98,Fixed effect,tropical_storm_death,wildfire_dummy,winter_storm_count,0.06201415423086787,0.04805036937751266,0.03330784118234661,0.00032372132009814424
99,Fixed effect,tropical_storm_death,wildfire_count,tropical_storm_dummy,0.06038349831884826,0.04333261075921394,0.00022747500845747166,0.0169458340416518
100,Fixed effect,tropical_storm_death,wildfire_count,tornado_injury,0.06057740790480082,0.04461959997883682,0.00022429567540573504,6.933534462243652e-05
101,Fixed effect,tropical_storm_death,wildfire_count,flood_count,0.06093496240265739,0.04128081363841254,0.0002592717857029881,0.0002503084091323817
102,Fixed effect,tropical_storm_death,wildfire_count,flood_death,0.06152068525168275,0.04070625739261372,0.00027011843001548494,0.009616270923483427
103,Fixed effect,tropical_storm_death,wildfire_count,avg_tornado_scale,0.06052696690376891,0.044823262165495426,0.0002124885410030053,0.01947898224198043
104,Fixed effect,tropical_storm_death,wildfire_count,PerCapitaIncome,0.06043182540752334,0.04649385214895323,0.00020549987249006248,-1.8483008847955683e-06
105,Fixed effect,tropical_storm_death,wildfire_count,GDP_per_capita,0.06070049530079702,0.045869769334096304,0.000198164689007151,-2.5565555179754273
106,Fixed effect,tropical_storm_death,wildfire_count,heat_death,0.06178082672091112,0.04650033548612005,0.00036327892281688034,-0.002156467579829324
107,Fixed effect,tropical_storm_death,wildfire_count,winter_storm_count,0.061747551677533985,0.04920707438804698,0.00018893641482843306,0.00030551880300843753
108,Fixed effect,tropical_storm_death,tropical_storm_dummy,tornado_injury,0.05999375691596576,0.0433441916082718,0.008751765841342634,5.743180634034074e-05
109,Fixed effect,tropical_storm_death,tropical_storm_dummy,flood_count,0.06012897984497689,0.04196983289441242,0.0037488313125197846,0.000188047276553664
110,Fixed effect,tropical_storm_death,tropical_storm_dummy,flood_death,0.06063479728926924,0.04127179509966573,0.002604375083809721,0.008025225045496194
111,Fixed effect,tropical_storm_death,tropical_storm_dummy,avg_tornado_scale,0.060059035101528546,0.042446220829421705,0.012724551550603886,0.01929759808682694
112,Fixed effect,tropical_storm_death,tropical_storm_dummy,PerCapitaIncome,0.05997069046586667,0.044492308876130364,0.010686871668054909,-1.8559479551316506e-06
113,Fixed effect,tropical_storm_death,tropical_storm_dummy,GDP_per_capita,0.060258741508596225,0.04414275859188023,0.009167243378887894,-2.6178612928379437
114,Fixed effect,tropical_storm_death,tropical_storm_dummy,heat_death,0.060425645182415555,0.04499360395645694,0.008570188864225677,-0.0013081309013055372
115,Fixed effect,tropical_storm_death,tropical_storm_dummy,winter_storm_count,0.06131258822575736,0.04839002575178154,0.004790023173419274,0.00031096094559926755
116,Fixed effect,tropical_storm_death,tornado_injury,flood_count,0.060318183775623924,0.04145913365294986,5.096707744578308e-05,0.0001770884478596678
117,Fixed effect,tropical_storm_death,tornado_injury,flood_death,0.06085525155262106,0.04031160292562251,5.388769165964028e-05,0.007878366378887273
118,Fixed effect,tropical_storm_death,tornado_injury,avg_tornado_scale,0.06018163640520302,0.04357791462673257,5.4240841091279147e-05,0.0168221889411746
119,Fixed effect,tropical_storm_death,tornado_injury,PerCapitaIncome,0.06024201067475632,0.04462232852839835,6.664888948215963e-05,-2.121909664742163e-06
120,Fixed effect,tropical_storm_death,tornado_injury,GDP_per_capita,0.06054833006271121,0.04394284596651312,6.644208804944078e-05,-2.8207941779711234
121,Fixed effect,tropical_storm_death,tornado_injury,heat_death,0.06066091613876412,0.04491916550809712,6.0146355679870454e-05,-0.001331896996242213
122,Fixed effect,tropical_storm_death,tornado_injury,winter_storm_count,0.06148482418636836,0.047857114872813925,4.917008700010225e-05,0.0003058805150570515
123,Fixed effect,tropical_storm_death,flood_count,flood_death,0.06068792314508964,0.04069162290700221,7.828426744149302e-05,0.00707817726180408
124,Fixed effect,tropical_storm_death,flood_count,avg_tornado_scale,0.06034926865002277,0.041315595275116905,0.00018104290292349275,0.0165458763456272
125,Fixed effect,tropical_storm_death,flood_count,PerCapitaIncome,0.06041481597270704,0.0421476560007233,0.00020667131455018878,-2.1142626739912236e-06
126,Fixed effect,tropical_storm_death,flood_count,GDP_per_capita,0.0606948163083989,0.041607830116884896,0.00020077269649736645,-2.7514492343377928
127,Fixed effect,tropical_storm_death,flood_count,heat_death,0.06077012367166712,0.04282815665748558,0.0001798944802752645,-0.001273073068049646
128,Fixed effect,tropical_storm_death,flood_count,winter_storm_count,0.0614288907760131,0.04686424090289187,0.00010749982407104778,0.00029115865379132074
129,Fixed effect,tropical_storm_death,flood_death,avg_tornado_scale,0.06085117933435735,0.040400030407589105,0.007824940857810266,0.01621380489892509
130,Fixed effect,tropical_storm_death,flood_death,PerCapitaIncome,0.06092148345318882,0.04142955579165559,0.008343856999054192,-2.1007536136505967e-06
131,Fixed effect,tropical_storm_death,flood_death,GDP_per_capita,0.06119929744799224,0.04084535485892687,0.008216217770059292,-2.7384637052468688
132,Fixed effect,tropical_storm_death,flood_death,heat_death,0.06138943372725314,0.04157158437537076,0.008285513594225205,-0.0013729203809346715
133,Fixed effect,tropical_storm_death,flood_death,winter_storm_count,0.06191395614495465,0.04505277334022703,0.006562339126608094,0.00028234111391192137
134,Fixed effect,tropical_storm_death,avg_tornado_scale,PerCapitaIncome,0.06016251309143528,0.04493255174416721,0.017718870019815088,-1.7704030283922887e-06
135,Fixed effect,tropical_storm_death,avg_tornado_scale,GDP_per_capita,0.06046057220123302,0.04432316715399485,0.01738735669928617,-2.5826363285622964
136,Fixed effect,tropical_storm_death,avg_tornado_scale,heat_death,0.06067030677356644,0.04493984489902653,0.018545189616561902,-0.0013311256003665814
137,Fixed effect,tropical_storm_death,avg_tornado_scale,winter_storm_count,0.06150409328548123,0.047833933946616045,0.015652476591536294,0.00030652317216466794
138,Fixed effect,tropical_storm_death,PerCapitaIncome,GDP_per_capita,0.06062861921042162,0.044390684128966615,7.898193087673838e-06,-9.684702774021522
139,Fixed effect,tropical_storm_death,PerCapitaIncome,heat_death,0.060872681293072106,0.04644389632319247,-2.8011683512868223e-06,-0.0015939472517678842
140,Fixed effect,tropical_storm_death,PerCapitaIncome,winter_storm_count,0.0616227091723931,0.049260401973276025,-2.220212894988914e-06,0.00032304824111994984
141,Fixed effect,tropical_storm_death,GDP_per_capita,heat_death,0.06130703764331624,0.04557531050658019,-3.59015661850934,-0.0016975085404294715
142,Fixed effect,tropical_storm_death,GDP_per_capita,winter_storm_count,0.06188431611036349,0.04855410480358177,-2.780198220241142,0.0003182960107952131
143,Fixed effect,tropical_storm_death,heat_death,winter_storm_count,0.06171650823940089,0.049092628857017866,-0.0010337493469023424,0.0002881521345934578
144,Fixed effect,tropical_storm_count,wildfire_dummy,wildfire_count,0.060513732396630715,0.0009979754721492296,0.0300616405065461,0.00021348472692951276
145,Fixed effect,tropical_storm_count,wildfire_dummy,tropical_storm_dummy,0.059940130366419875,0.000987857996841004,0.031063939448589768,-0.0010874172521782893
146,Fixed effect,tropical_storm_count,wildfire_dummy,tornado_injury,0.06013372198544864,0.000926477288908176,0.029323115047794186,5.043603097582418e-05
147,Fixed effect,tropical_storm_count,wildfire_dummy,flood_count,0.06059888832766436,0.0008121221915048775,0.0365402478222576,0.00023846054332383933
148,Fixed effect,tropical_storm_count,wildfire_dummy,flood_death,0.06106172509605301,0.0008490966552617725,0.03323381033201464,0.008736183234335554
149,Fixed effect,tropical_storm_count,wildfire_dummy,avg_tornado_scale,0.06031509818884073,0.0009399216279794139,0.03173229229166683,0.021056804695721354
150,Fixed effect,tropical_storm_count,wildfire_dummy,PerCapitaIncome,0.06010252656534698,0.0009574086190275968,0.030079306583583508,-1.5764734189364519e-06
151,Fixed effect,tropical_storm_count,wildfire_dummy,GDP_per_capita,0.06032791563654849,0.000935550005763432,0.028540039326214513,-2.280464168134434
152,Fixed effect,tropical_storm_count,wildfire_dummy,heat_death,0.06052006578260449,0.000933925182413385,0.029997458589949667,-0.001203717326837495
153,Fixed effect,tropical_storm_count,wildfire_dummy,winter_storm_count,0.06154866500834666,0.000995135497141608,0.03316616473827294,0.00031151512130225356
154,Fixed effect,tropical_storm_count,wildfire_count,tropical_storm_dummy,0.05993920880007331,0.0009849066077225984,0.00022465729229959947,0.004198254072329051
155,Fixed effect,tropical_storm_count,wildfire_count,tornado_injury,0.0602712205030248,0.0009704962285433335,0.00023417567424464532,6.665451339036944e-05
156,Fixed effect,tropical_storm_count,wildfire_count,flood_count,0.060633283729921494,0.0008788126984396738,0.0002681800656250266,0.000247437830612612
157,Fixed effect,tropical_storm_count,wildfire_count,flood_death,0.06131648406340351,0.0009032273602355755,0.00028132203627492385,0.009854899851369
158,Fixed effect,tropical_storm_count,wildfire_count,avg_tornado_scale,0.06029498701566771,0.0010024820846268852,0.00022343451881846625,0.020726710035391685
159,Fixed effect,tropical_storm_count,wildfire_count,PerCapitaIncome,0.06011305685856805,0.0010157040650018848,0.00021683921529742027,-1.6641515217068034e-06
160,Fixed effect,tropical_storm_count,wildfire_count,GDP_per_capita,0.060359582325464345,0.0009902530527882473,0.00020958847006124899,-2.3875345760924973
161,Fixed effect,tropical_storm_count,wildfire_count,heat_death,0.06137302341874984,0.000978624715907008,0.0003674496726427836,-0.0020667500271580375
