,Model,Independent variable,R2,Coefficient_ind,Coefficient_debt_at,Coefficient_debt_assets,Coefficient_debt_ebitda,Coefficient_cash_debt,p-value
38,Pooled OLS,winter_storm_property,3.3992113244174504e-06,3.725853022706482e-11,0,0,0,0,0.423901110631252
39,Fixed effect,winter_storm_property,0.058353349932130594,2.0567291975467037e-12,-0.4044928136682891,1.0937736153260857,0.0003242765647321308,-0.33881763863242687,0.16960216851784257
40,Pooled OLS,flood_injury,0.00016447279338294152,-0.007687735204313289,0,0,0,0,0.0680874079155589
41,Fixed effect,flood_injury,0.058357046943717794,0.00041771738358278995,-0.4045661218714586,1.0938683601461772,0.00032429350874067455,-0.33887364722451535,0.1482490002517489
42,Pooled OLS,heat_injury,0.00047321723279314387,0.0002702942607382115,0,0,0,0,0.020148057366853545
43,Fixed effect,heat_injury,0.05839663031458042,3.0191886300289646e-05,-0.4037886880265308,1.0940660289001478,0.00032487454290754624,-0.3385310383552241,0.0935237319424745
44,Pooled OLS,tornado_injury,0.001106910236112535,0.00031170202429730507,0,0,0,0,0.0020038971404077177
45,Fixed effect,tornado_injury,0.05877629028645259,7.351547460574803e-05,-0.4089182887484409,1.0973569806031152,0.00032687676667859965,-0.33832334610591286,0.013882225472039692
46,Pooled OLS,tropical_storm_injury,0.0014094848384536007,0.09086370133897333,0,0,0,0,3.678878635282601e-06
47,Fixed effect,tropical_storm_injury,0.058356990400357134,0.0016955270826937306,-0.40457428716088656,1.093859802827452,0.0003243428677275687,-0.33899825094736724,0.14842949919271498
48,Pooled OLS,wildfire_injury,0.0004901810168694842,0.0011313879037212929,0,0,0,0,0.07849585164205486
49,Fixed effect,wildfire_injury,0.058463385564785475,0.000231054694485352,-0.40532532474792365,1.0960029392595003,0.0003271081026268463,-0.33852001362759526,0.05757279770819834
50,Pooled OLS,winter_storm_injury,1.0661484987073422e-05,-0.0015950949556033816,0,0,0,0,0.3817900528915025
51,Fixed effect,winter_storm_injury,0.0583773226921821,0.000918214228177854,-0.40464305290852226,1.0938767588860292,0.00032393723471201176,-0.33917146486600946,0.11218855266141463
52,Pooled OLS,flood_death,0.000624654891877241,0.01707193935553728,0,0,0,0,0.010579023689682776
53,Fixed effect,flood_death,0.05967200691577257,0.009383858420996035,-0.40988496198564867,1.096155545399195,0.00032570821214346693,-0.33783387645817237,0.006447072687296496
54,Pooled OLS,heat_death,3.17266132529026e-05,-0.0007312150968857637,0,0,0,0,0.29362724280461217
55,Fixed effect,heat_death,0.05908415101532727,-0.0013475339637786415,-0.4018313668730675,1.0866729319702007,0.000326937965056437,-0.33709260961544,0.0077012610975016145
56,Pooled OLS,tornado_death,0.00016367558233587598,0.0012914929955640396,0,0,0,0,0.09572728366422834
57,Fixed effect,tornado_death,0.05838465461837683,0.0002105349275161253,-0.4045600694773892,1.0943405728400768,0.00032440316035065795,-0.3388715311419149,0.10422527589020403
58,Pooled OLS,tropical_storm_death,0.0018149531666761254,0.13273820625751187,0,0,0,0,4.6083738674318475e-05
59,Fixed effect,tropical_storm_death,0.059918929503411156,0.04669970967869429,-0.405986548143782,1.0980061795323894,0.0003220449301255053,-0.33995744130098654,0.006764787448308514
60,Pooled OLS,wildfire_death,0.0015200857878917562,0.02201650694014005,0,0,0,0,0.0011952341257555066
61,Fixed effect,wildfire_death,0.05850586694573656,-0.002797626804954688,-0.40666623070641916,1.0940471157183367,0.00032246177243263566,-0.33928711063494454,0.045053418980515104
62,Pooled OLS,winter_storm_death,3.759309304962599e-06,-0.005372343245992098,0,0,0,0,0.4191384240489906
63,Fixed effect,winter_storm_death,0.058359055596851506,-0.0025282243773748327,-0.40467485994062297,1.0937705023088362,0.00032457285569489083,-0.3387091958962898,0.14238377388523735
64,Pooled OLS,avg_tornado_scale,7.940496295355537e-05,-0.021530908972153373,0,0,0,0,0.3025968578308136
65,Fixed effect,avg_tornado_scale,0.058784624797658225,0.022520942996816784,-0.40213644564318196,1.0912403224364333,0.00032252013044385046,-0.3403933940357516,0.013972582604964404
66,Pooled OLS,flood_dummy,0.0005008907961354669,-0.1679833142604017,0,0,0,0,0.05905199443993492
67,Fixed effect,flood_dummy,0.05846413733648992,0.03281228558171336,-0.40586637873019005,1.0949145307908252,0.00032332922777077085,-0.3381618831004001,0.05767090981944093
68,Pooled OLS,heat_dummy,1.4253858241608519e-05,-0.009314287797303346,0,0,0,0,0.4003037870168362
69,Fixed effect,heat_dummy,0.058453360597400805,0.010452015042731501,-0.4025837590797813,1.0936774087478194,0.00032195268046177327,-0.33791067646335404,0.06194001590978778
70,Pooled OLS,tornado_dummy,0.0021999542229422797,0.24862383091449006,0,0,0,0,0.004759216619013795
71,Fixed effect,tornado_dummy,0.0583806403751741,0.012482411371661131,-0.4045328196466231,1.093752165932127,0.00032388009715066644,-0.33879544701167436,0.10844750191692472
72,Pooled OLS,tropical_storm_dummy,0.0027332630974122862,0.1465450240207184,0,0,0,0,0.0005303815653923127
