,Model,Independent variable1,Independent variable2,Independent variable3,Independent variable4,Adjusted R2,Coefficient1,Coefficient2,Coefficient3,Coefficient4
39,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,flood_death,0.06100493971855714,0.000288718566300301,0.03827889113568235,1.6260209906026493e-05,0.0068420243736612985
40,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,avg_tornado_scale,0.060535913058621604,0.0003829969493912957,0.04025901288959763,3.9764684437305735e-06,0.014543927041018914
41,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,PerCapitaIncome,0.06058608483686234,0.0003787147739366114,0.04119780168234779,1.5333111515024107e-05,-1.8581217117189365e-06
42,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,GDP_per_capita,0.06086676321637707,0.00036711187194599223,0.04066525664956197,1.6919855811053147e-05,-2.595833449575157
43,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,heat_death,0.061207275046348486,0.0004585219060520047,0.04072786916014983,-1.3642870281092964e-06,-0.0014560264493601446
44,Fixed effect,tornado_count,tropical_storm_death,tornado_injury,winter_storm_count,0.06179789009906633,0.00036365337146694273,0.044439332155973565,8.929592141127401e-07,0.0002961086088496605
45,Fixed effect,tornado_count,tropical_storm_death,flood_count,flood_death,0.06099395405142671,0.00032016251019874705,0.03812933935122233,1.875541465129317e-05,0.006533567936486316
46,Fixed effect,tornado_count,tropical_storm_death,flood_count,avg_tornado_scale,0.06067093618650321,0.00032758244675309224,0.038750414546950517,0.00011343083935797005,0.013782694516221565
47,Fixed effect,tornado_count,tropical_storm_death,flood_count,PerCapitaIncome,0.06076240142263978,0.0003358981242356608,0.03934175605706251,0.00013385681982964893,-1.944444003361961e-06
48,Fixed effect,tornado_count,tropical_storm_death,flood_count,GDP_per_capita,0.061029575472519415,0.0003307892431185204,0.0388621965149364,0.00012964412647374025,-2.6102300370486855
49,Fixed effect,tornado_count,tropical_storm_death,flood_count,heat_death,0.06129659177880786,0.00040018723174058715,0.03948308856252924,9.234986300828572e-05,-0.0014048151307967795
50,Fixed effect,tornado_count,tropical_storm_death,flood_count,winter_storm_count,0.06180903087848799,0.0003474211743109851,0.04390877518918816,3.348464819618054e-05,0.0002896168924425252
51,Fixed effect,tornado_count,tropical_storm_death,flood_death,avg_tornado_scale,0.06113545545606802,0.00030188150068547246,0.03750038012744815,0.006598030594377225,0.013257468933046624
52,Fixed effect,tornado_count,tropical_storm_death,flood_death,PerCapitaIncome,0.06124683817602217,0.00031538657988387856,0.038169496586733465,0.00698738091618498,-1.973488365611056e-06
53,Fixed effect,tornado_count,tropical_storm_death,flood_death,GDP_per_capita,0.06150853165772718,0.0003092189178619514,0.03767109902874656,0.006894719031916611,-2.6165459918293665
54,Fixed effect,tornado_count,tropical_storm_death,flood_death,heat_death,0.06183862493377135,0.0003598675193701195,0.03782593856363182,0.006758205581363953,-0.0014548269687720639
55,Fixed effect,tornado_count,tropical_storm_death,flood_death,winter_storm_count,0.062186047164385694,0.0002945708449355501,0.041881737255779206,0.005358712161200787,0.00027299855252157254
56,Fixed effect,tornado_count,tropical_storm_death,avg_tornado_scale,PerCapitaIncome,0.06072153521801682,0.00038670040596089074,0.04030653188863813,0.01343064182237437,-1.687279329578997e-06
57,Fixed effect,tornado_count,tropical_storm_death,avg_tornado_scale,GDP_per_capita,0.060994604518449846,0.0003793255834545897,0.0398121242962581,0.01319272757059503,-2.4691757206426543
58,Fixed effect,tornado_count,tropical_storm_death,avg_tornado_scale,heat_death,0.0613622636481812,0.00042559284749661735,0.039848025795865924,0.01372152104597824,-0.0014376767685986228
59,Fixed effect,tornado_count,tropical_storm_death,avg_tornado_scale,winter_storm_count,0.06191584521321203,0.0003411569879978916,0.043603580034216036,0.011988537787753368,0.0002907557256467112
60,Fixed effect,tornado_count,tropical_storm_death,PerCapitaIncome,GDP_per_capita,0.061247529728929107,0.0003997359710353659,0.03928459205557349,7.649583753591688e-06,-9.31445162533771
61,Fixed effect,tornado_count,tropical_storm_death,PerCapitaIncome,heat_death,0.0616692294816672,0.00044772040108072444,0.04062469523315054,-2.713084891174114e-06,-0.0016944717141727848
62,Fixed effect,tornado_count,tropical_storm_death,PerCapitaIncome,winter_storm_count,0.06208482814288008,0.0003542962249919142,0.04450278205684392,-2.0906576211990782e-06,0.00030409364198778375
63,Fixed effect,tornado_count,tropical_storm_death,GDP_per_capita,heat_death,0.06207435987715837,0.00044038774152531217,0.039879827426299495,-3.473967831853629,-0.0017926780073184042
64,Fixed effect,tornado_count,tropical_storm_death,GDP_per_capita,winter_storm_count,0.062326708803234765,0.0003479944949536102,0.043914688217230456,-2.6447884984053935,0.0002999769900059381
65,Fixed effect,tornado_count,tropical_storm_death,heat_death,winter_storm_count,0.06231608482110074,0.00039730239339878744,0.043720257103258595,-0.0011557533066848561,0.00026420554421901403
66,Fixed effect,tornado_count,tropical_storm_count,wildfire_dummy,wildfire_count,0.061250106169990826,0.0004425318574912157,0.00077387989942786,0.030477199291528766,0.0002372481318756935
