,Model,Independent variable1,Independent variable2,Adjusted R2,Coefficient1,Coefficient2
58,Fixed effect,tropical_storm_dummy,avg_tornado_scale,0.05891728123450568,0.021755692279875612,0.022676638822174633
59,Fixed effect,tropical_storm_dummy,PerCapitaIncome,0.05869684965774713,0.02014917071526837,-1.8186467937161272e-06
60,Fixed effect,tropical_storm_dummy,GDP_per_capita,0.05900618667243218,0.018490853223517574,-2.6490230288538603
61,Fixed effect,tropical_storm_dummy,heat_death,0.05912137869572687,0.018211623610588538,-0.0012694869165369189
62,Fixed effect,tropical_storm_dummy,winter_storm_count,0.05980077656159255,0.015604635094199952,0.0002844138224806088
63,Fixed effect,tornado_injury,flood_count,0.05920992177479867,5.88277861369928e-05,0.00022477073189590486
64,Fixed effect,tornado_injury,flood_death,0.05980524762385564,6.32764338119985e-05,0.00900794973192748
65,Fixed effect,tornado_injury,avg_tornado_scale,0.05892483456859565,6.441125710615983e-05,0.019794459391080054
66,Fixed effect,tornado_injury,PerCapitaIncome,0.05891250112936419,7.862202314622102e-05,-2.190165758584787e-06
67,Fixed effect,tornado_injury,GDP_per_capita,0.059262924480175894,7.830816965886322e-05,-2.964279259884087
68,Fixed effect,tornado_injury,heat_death,0.0593121223143519,7.203881548056601e-05,-0.0013320037671781942
69,Fixed effect,tornado_injury,winter_storm_count,0.05994822271338507,6.259762661246447e-05,0.000286044100527157
70,Fixed effect,flood_count,flood_death,0.05962372286953521,0.00011727085937384178,0.0077223412243704855
71,Fixed effect,flood_count,avg_tornado_scale,0.05924981659377859,0.00022919061372218813,0.019040929020115244
72,Fixed effect,flood_count,PerCapitaIncome,0.05926197584466675,0.00025877648885798226,-2.191512499524063e-06
73,Fixed effect,flood_count,GDP_per_capita,0.05957437883023209,0.00025200224078841116,-2.8774774557871283
74,Fixed effect,flood_count,heat_death,0.059576559507559024,0.00023272917672942142,-0.0012544981024094656
75,Fixed effect,flood_count,winter_storm_count,0.059997384683563526,0.00017410976016726942,0.00025972129022264147
76,Fixed effect,flood_death,avg_tornado_scale,0.05979543742539595,0.008951105643153701,0.01891472884792565
77,Fixed effect,flood_death,PerCapitaIncome,0.059800393697217014,0.009566855746610082,-2.156929215432867e-06
78,Fixed effect,flood_death,GDP_per_capita,0.0601129178564932,0.009418710283522556,-2.8563312522603117
79,Fixed effect,flood_death,heat_death,0.06025979721513863,0.00950851757932643,-0.0013795039605279606
80,Fixed effect,flood_death,winter_storm_count,0.06058043712859451,0.008010750353485625,0.0002590184443785219
81,Fixed effect,avg_tornado_scale,PerCapitaIncome,0.05881230216258371,0.02122570779549279,-1.772751663487476e-06
82,Fixed effect,avg_tornado_scale,GDP_per_capita,0.05914986242197784,0.020783497121856506,-2.682737781878609
83,Fixed effect,avg_tornado_scale,heat_death,0.05931958015447114,0.02205428743372075,-0.0013311981708492761
84,Fixed effect,avg_tornado_scale,winter_storm_count,0.05996815519198506,0.019586633290811187,0.0002870510731827896
85,Fixed effect,PerCapitaIncome,GDP_per_capita,0.059309249232708416,8.79117279633878e-06,-10.59836957467562
86,Fixed effect,PerCapitaIncome,heat_death,0.059412872334798195,-2.8411673516066546e-06,-0.0016002665217094963
87,Fixed effect,PerCapitaIncome,winter_storm_count,0.05997455379218131,-2.243177654916469e-06,0.0003051965072224902
88,Fixed effect,GDP_per_capita,heat_death,0.059905822881603066,-3.7268531235631017,-0.0017136466843982695
89,Fixed effect,GDP_per_capita,winter_storm_count,0.060286879350396894,-2.912287314639413,0.00030077827295876223
90,Fixed effect,heat_death,winter_storm_count,0.060080325524081934,-0.0010565923943638186,0.0002696835671354004
